School,Conference,2024 Current Average,Week-over-Week % Change,2023 Average,Year-over-Year % Change,5 Year Average,5 Year-over-Year % Change,Capacity %
Kansas*,Big 12,"39,408",8.66%,"45,888",-14.12%,"32,858",19.94%,104.29%
California,ACC,"39,173",5.64%,"38,684",1.26%,"39,992",-2.05%,62.46%
Virginia,ACC,"38,999",-1.38%,"43,293",-9.92%,"42,796",-8.87%,63.41%
Syracuse,ACC,"38,905",-1.77%,"34,045",14.28%,"37,308",4.28%,78.99%
Georgia Tech,ACC,"38,216",-2.37%,"36,290",5.31%,"39,223",-2.57%,69.48%
Cincinnati,Big 12,"37,933",0.00%,"38,193",-0.68%,"36,030",5.28%,99.59%
Maryland,Big Ten,"36,040",-2.69%,"40,314",-10.60%,"36,345",-0.84%,69.57%
Oregon State,Pac-12,"35,799",1.03%,"36,969",-3.16%,"33,325",7.43%,100.71%
SMU,ACC,"32,564",0.00%,"22,616",43.99%,"22,755",43.11%,101.76%
Wake Forest,ACC,"30,563",0.00%,"30,609",-0.15%,"28,645",6.70%,97.03%
Vanderbilt,SEC,"27,950",0.00%,"25,509",9.57%,"26,499",5.48%,98.07%
Houston,Big 12,"27,423",4.92%,"36,020",-23.87%,"28,369",-3.33%,68.56%
Duke,ACC,"26,183",-2.84%,"25,111",4.27%,"23,499",11.42%,74.77%
Stanford,ACC,"26,035",0.00%,"33,219",-21.63%,"34,746",-25.07%,51.63%
Washington State,Pac-12,"23,478",0.00%,"28,023",-16.22%,"27,211",-13.72%,72.81%
Northwestern*,Big Ten,"15,985",0.00%,"20,800",-23.15%,"32,357",-50.60%,106.57%
